City,Leisure Type,Longitude,Latitude
Oakville,park,-79.6777425,43.432356300542
Oakville,park,-79.66918220869142,43.46538405054197
Oakville,playground,-79.66886074137356,43.465321150541975
Oakville,park,-79.64870570646653,43.46121285054199
Oakville,park,-79.68757739999998,43.458630500541986
Oakville,park,-79.6875618028725,43.434588800542
Oakville,park,-79.69137360851485,43.439735050542
Oakville,playground,-79.69113463825215,43.439861700542
Oakville,playground,-79.6867417030236,43.434410150542
Oakville,playground,-79.69142179910287,43.439889850542
Oakville,playground,-79.68833126704712,43.43436075054201
Oakville,park,-79.69137143818078,43.460290050541985
Oakville,park,-79.65527323021882,43.46973230054198
Oakville,park,-79.68783683372575,43.46404115054197
Oakville,playground,-79.69278579924163,43.46116515054199
Oakville,park,-79.68970659080327,43.46404630054198
Oakville,park,-79.6934362991328,43.433261500542
Oakville,park,-79.649755582062,43.46817545054198
Oakville,private,-79.68894954339622,43.46484830054199
Oakville,park,-79.69402986162223,43.46129845054199
Oakville,park,-79.68813499595277,43.465974950541984
Oakville,park,-79.68761065596786,43.466342350541986
Oakville,park,-79.64464302906049,43.46593160054198
Oakville,playground,-79.6937932051282,43.433045400542
Oakville,park,-79.68830992053293,43.46610665054198
Oakville,park,-79.68780673764043,43.46648190054197
Oakville,playground,-79.69413620561522,43.46176920054199
Oakville,park,-79.68777708573526,43.46682660054198
Oakville,park,-79.68846289316662,43.46621715054198
Oakville,park,-79.68796229761905,43.466598350541986
Oakville,park,-79.68866198845487,43.46636295054198
Oakville,park,-79.65235831248017,43.47014105054197
Oakville,park,-79.68814450115144,43.466734950541976
Oakville,park,-79.68797150105081,43.466932900541984
Oakville,park,-79.68884159542759,43.46649375054197
Oakville,park,-79.68833375690433,43.466867950541975
Oakville,park,-79.68828943254384,43.46707390054196
Oakville,park,-79.68851319227068,43.46700140054198
Oakville,park,-79.68864039401785,43.46709750054197
Oakville,park,-79.69569156827785,43.431819500542005
Oakville,park,-79.69326589146743,43.427266350542
Oakville,park,-79.6902153652727,43.46739875054198
Oakville,playground,-79.69559588877121,43.431658950541994
Oakville,park,-79.69016008205631,43.46749540054198
Oakville,park,-79.69032395211421,43.46770530054198
Oakville,park,-79.6904236701923,43.46771115054198
Oakville,park,-79.69047444666873,43.46774720054199
Oakville,park,-79.69080680858613,43.467517450541976
Oakville,park,-79.69075771133188,43.46760810054197
Oakville,playground,-79.696838105264,43.431143550542
Oakville,playground,-79.6966189,43.431216050542005
Oakville,park,-79.64428838121108,43.470131200541964
Oakville,park,-79.70911970735932,43.442400100542
Oakville,playground,-79.64452698590387,43.47000780054198
Oakville,private,-79.69739473027232,43.46499890054198
Oakville,playground,-79.69913104690576,43.46401840054199
Oakville,playground,-79.70745892192144,43.449211800542
Oakville,park,-79.70839622919294,43.44924925054199
Oakville,park,-79.68610951038514,43.420579850542
Oakville,park,-79.68931879291009,43.474342050541956
Oakville,playground,-79.6857771,43.42065270054199
Oakville,park,-79.69730335103938,43.46803355054197
Oakville,playground,-79.70839332363177,43.448744150542
Oakville,park,-79.69337736991152,43.47107410054197
Oakville,park,-79.70645970090536,43.45882255054199
Oakville,private,-79.69746049999999,43.46825800054198
Oakville,park,-79.697649125,43.468326350541986
Oakville,park,-79.69824247499999,43.46801275054198
Oakville,park,-79.69786341124278,43.46833045054197
Oakville,playground,-79.68951954590302,43.47374555054196
Oakville,playground,-79.7064538514575,43.458913250542
Oakville,park,-79.70017970092749,43.46706765054197
Oakville,park,-79.69618790684713,43.47014100054197
Oakville,park,-79.69792784040327,43.46907460054197
Oakville,private,-79.69496679999999,43.471191550541974
Oakville,park,-79.69776245360352,43.46930760054197
Oakville,park,-79.69751967585839,43.469694050541975
Oakville,park,-79.69801472994297,43.469400900541984
Oakville,park,-79.70034736359796,43.46748560054198
Oakville,park,-79.71223523415355,43.44844350054201
Oakville,park,-79.71422201782511,43.445568100542005
Oakville,park,-79.69913198323461,43.468735600541976
Oakville,park,-79.71085655584315,43.444547600542
Oakville,park,-79.69404158289203,43.47258315054198
Oakville,park,-79.69979485715162,43.46825250054198
Oakville,park,-79.69800586634125,43.46973065054197
Oakville,playground,-79.69405926897252,43.47239010054197
Oakville,park,-79.69916016715288,43.46885295054197
Oakville,park,-79.69557598611057,43.47151465054197
Oakville,park,-79.70069000504493,43.46766860054198
