x,y,DIRECTION_MAX_GUST,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,MIN_REL_HUMIDITY,PROVINCE_CODE,COOLING_DEGREE_DAYS_FLAG,LOCAL_DATE,STATION_NAME,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,LOCAL_MONTH,LOCAL_DAY,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,MAX_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,CLIMATE_IDENTIFIER,SNOW_ON_GROUND,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,TOTAL_RAIN,MAX_TEMPERATURE,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_RAIN_FLAG,MIN_REL_HUMIDITY_FLAG,ID
-79.69696166666667,43.4280575,,0.2,11,,ON,,1990-06-12 00:00:00,OAKVILLE GERARD,0,,6,12,,1990,,,0.8,,,6155PD4,,17.8,,0,0.8,24.5,,,,,,,,6155PD4.1990.6.12
-79.69696166666667,43.4280575,,0,13,,ON,,1990-06-13 00:00:00,OAKVILLE GERARD,3.8,,6,13,,1990,,,0,,,6155PD4,,21.8,,0,0,30.5,,,,,,,,6155PD4.1990.6.13
-79.69696166666667,43.4280575,,0,17.5,,ON,,1990-06-14 00:00:00,OAKVILLE GERARD,5.8,,6,14,,1990,,,0,,,6155PD4,,23.8,,0,0,30,,,,,,,,6155PD4.1990.6.14
-79.69696166666667,43.4280575,,0,15.5,,ON,,1990-06-15 00:00:00,OAKVILLE GERARD,4.3,,6,15,,1990,,,0,,,6155PD4,,22.3,,0,0,29,,,,,,,,6155PD4.1990.6.15
-79.69696166666667,43.4280575,,0,16,,ON,,1990-06-16 00:00:00,OAKVILLE GERARD,5,,6,16,,1990,,,0,,,6155PD4,,23,,0,0,30,,,,,,,,6155PD4.1990.6.16
-79.69696166666667,43.4280575,,0,17.5,,ON,,1990-06-17 00:00:00,OAKVILLE GERARD,5.3,,6,17,,1990,,,0,,,6155PD4,,23.3,,0,0,29,,,,,,,,6155PD4.1990.6.17
-79.69696166666667,43.4280575,,0,20,,ON,,1990-06-18 00:00:00,OAKVILLE GERARD,6.8,,6,18,,1990,,,0,,,6155PD4,,24.8,,0,0,29.5,,,,,,,,6155PD4.1990.6.18
-79.69696166666667,43.4280575,,0,15.5,,ON,,1990-06-19 00:00:00,OAKVILLE GERARD,2,,6,19,,1990,,,0,,,6155PD4,,20,,0,0,24.5,,,,,,,,6155PD4.1990.6.19
-79.69696166666667,43.4280575,,3,8,,ON,,1990-06-20 00:00:00,OAKVILLE GERARD,0,,6,20,,1990,,,0.2,,,6155PD4,,15,,0,0.2,22,,,,,,,,6155PD4.1990.6.20
-79.69696166666667,43.4280575,,0,15.5,,ON,,1990-06-21 00:00:00,OAKVILLE GERARD,4.3,,6,21,,1990,,,0,,,6155PD4,,22.3,,0,0,29,,,,,,,,6155PD4.1990.6.21
-79.69696166666667,43.4280575,,0,17.5,,ON,,1990-06-22 00:00:00,OAKVILLE GERARD,2.8,,6,22,,1990,,,7.8,,,6155PD4,,20.8,,0,7.8,24,,,,,,,,6155PD4.1990.6.22
-79.69696166666667,43.4280575,,1,15,,ON,,1990-06-23 00:00:00,OAKVILLE GERARD,0,,6,23,,1990,,,0.9,,,6155PD4,,17,,0,0.9,19,,,,,,,,6155PD4.1990.6.23
-79.69696166666667,43.4280575,,2.5,13,,ON,,1990-06-24 00:00:00,OAKVILLE GERARD,0,,6,24,,1990,,,0,,,6155PD4,,15.5,,0,0,18,,,,,,,,6155PD4.1990.6.24
-79.69696166666667,43.4280575,,0,14,,ON,,1990-06-25 00:00:00,OAKVILLE GERARD,3,,6,25,,1990,,,0,,,6155PD4,,21,,0,0,28,,,,,,,,6155PD4.1990.6.25
-79.69696166666667,43.4280575,,0,12.5,,ON,,1990-06-26 00:00:00,OAKVILLE GERARD,3.3,,6,26,,1990,,,0.2,,,6155PD4,,21.3,,0,0.2,30,,,,,,,,6155PD4.1990.6.26
-79.69696166666667,43.4280575,,0,18,,ON,,1990-06-27 00:00:00,OAKVILLE GERARD,4.8,,6,27,,1990,,,0,,,6155PD4,,22.8,,0,0,27.5,,,,,,,,6155PD4.1990.6.27
-79.69696166666667,43.4280575,,3.2,11.5,,ON,,1990-06-28 00:00:00,OAKVILLE GERARD,0,,6,28,,1990,,,5.6,,,6155PD4,,14.8,,0,5.6,18,,,,,,,,6155PD4.1990.6.28
-79.69696166666667,43.4280575,,0,12.5,,ON,,1990-06-29 00:00:00,OAKVILLE GERARD,2.5,,6,29,,1990,,,3.7,,,6155PD4,,20.5,,0,3.7,28.5,,,,,,,,6155PD4.1990.6.29
-79.69696166666667,43.4280575,,0,14.5,,ON,,1990-06-30 00:00:00,OAKVILLE GERARD,0.3,,6,30,,1990,,,0,,,6155PD4,,18.3,,0,0,22,,,,,,,,6155PD4.1990.6.30
-79.69696166666667,43.4280575,,0,13.5,,ON,,1990-07-01 00:00:00,OAKVILLE GERARD,0.5,,7,1,,1990,,,2.8,,,6155PD4,,18.5,,0,2.8,23.5,,,,,,,,6155PD4.1990.7.1
-79.69696166666667,43.4280575,,0,14,,ON,,1990-07-02 00:00:00,OAKVILLE GERARD,2.5,,7,2,,1990,,,0,,,6155PD4,,20.5,,0,0,27,,,,,,,,6155PD4.1990.7.2
-79.69696166666667,43.4280575,,0,13,,ON,,1990-07-03 00:00:00,OAKVILLE GERARD,4,,7,3,,1990,,,0,,,6155PD4,,22,,0,0,31,,,,,,,,6155PD4.1990.7.3
-79.69696166666667,43.4280575,,0,22,,ON,,1990-07-04 00:00:00,OAKVILLE GERARD,11.3,,7,4,T,1990,,,0,,,6155PD4,,29.3,,0,0,36.5,,,,,,T,,6155PD4.1990.7.4
-79.69696166666667,43.4280575,,0,18.5,,ON,,1990-07-05 00:00:00,OAKVILLE GERARD,3.5,,7,5,,1990,,,0.6,,,6155PD4,,21.5,,0,0.6,24.5,,,,,,,,6155PD4.1990.7.5
-79.69696166666667,43.4280575,,0.5,14,,ON,,1990-07-06 00:00:00,OAKVILLE GERARD,0,,7,6,,1990,,,0,,,6155PD4,,17.5,,0,0,21,,,,,,,,6155PD4.1990.7.6
-79.69696166666667,43.4280575,,1,11.5,,ON,,1990-07-07 00:00:00,OAKVILLE GERARD,0,,7,7,,1990,,,0,,,6155PD4,,17,,0,0,22.5,,,,,,,,6155PD4.1990.7.7
-79.69696166666667,43.4280575,,0,14.5,,ON,,1990-07-08 00:00:00,OAKVILLE GERARD,3.3,,7,8,,1990,,,9,,,6155PD4,,21.3,,0,9,28,,,,,,,,6155PD4.1990.7.8
-79.69696166666667,43.4280575,,0,21,,ON,,1990-07-09 00:00:00,OAKVILLE GERARD,7.5,,7,9,,1990,,,0,,,6155PD4,,25.5,,0,0,30,,,,,,,,6155PD4.1990.7.9
-79.69696166666667,43.4280575,,0,17.5,,ON,,1990-07-10 00:00:00,OAKVILLE GERARD,5.8,,7,10,,1990,,,0,,,6155PD4,,23.8,,0,0,30,,,,,,,,6155PD4.1990.7.10
-79.69696166666667,43.4280575,,0,15,,ON,,1990-07-11 00:00:00,OAKVILLE GERARD,1,,7,11,,1990,,,0,,,6155PD4,,19,,0,0,23,,,,,,,,6155PD4.1990.7.11
-79.69696166666667,43.4280575,,0,17,,ON,,1990-07-12 00:00:00,OAKVILLE GERARD,1.5,,7,12,,1990,,,0,,,6155PD4,,19.5,,0,0,22,,,,,,,,6155PD4.1990.7.12
-79.69696166666667,43.4280575,,0.2,12.5,,ON,,1990-07-13 00:00:00,OAKVILLE GERARD,0,,7,13,,1990,,,0,,,6155PD4,,17.8,,0,0,23,,,,,,,,6155PD4.1990.7.13
