"Ontario — Rental Market Statistics Summary by Metropolitan Areas, Census Agglomerations and Cities"
October 2018 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
Leamington,1.2,a ,**,,851,a ,844,a ,4.5,d ,"1,242",
London,2.3,a ,**,,"1,010",a ,934,a ,4.4,a ,"49,073",
Meaford MU,0.9,a ,**,,836,b ,835,b ,++,,256,
Midland,1.3,a ,**,,939,a ,890,a ,3.2,d ,"1,130",
Norfolk,2.4,c ,**,,736,a ,712,a ,++,,913,
North Bay,1.7,c ,**,,908,a ,916,a ,2.2,c ,"3,503",
North Perth MU,10.0,d ,**,,804,a ,800,a ,7.1,c ,435,
Orillia,2.2,c ,**,,"1,032",a ,995,a ,**,,"1,763",
Oshawa,2.6,b ,**,,"1,239",a ,"1,182",a ,4.7,b ,"13,042",
Ottawa,1.6,a ,**,,"1,195",a ,"1,129",a ,5.4,a ,"70,004",
Owen Sound,2.3,b ,**,,869,a ,862,a ,3.3,b ,"1,813",
Pembroke,3.0,c ,**,,818,b ,800,a ,3.5,d ,974,
Petawawa,7.9,c ,**,,828,a ,795,a ,4.9,d ,366,
Peterborough,1.5,a ,**,,"1,029",a ,"1,019",a ,6.9,b ,"6,548",
Port Hope,1.7,c ,**,,"1,213",a ,"1,200",a ,12.2,c ,589,
Prince Edward County CY,4.7,b ,**,,864,a ,825,a ,++,,499,
Sarnia,3.8,b ,**,,939,a ,873,a ,3.8,b ,"6,413",
Saugeen Shores T,2.4,c ,**,,937,a ,926,a ,6.6,a ,495,
Sault Ste. Marie,5.9,a ,**,,891,a ,891,a ,5.9,b ,"5,023",
Scugog TP,**,,**,,858,b ,845,b ,**,,144,
South Dundas MU,2.7,c ,**,,570,a ,550,b ,**,,325,
South Huron MU,**,,**,,584,a ,600,a ,**,,453,
St. Catharines - Niagara,2.5,a ,**,,981,a ,974,a ,4.2,b ,"16,874",
Stratford,1.8,b ,**,,888,a ,870,a ,3.8,b ,"2,029",
The Nation / La Nation M,0.0,d ,**,,**,,**,,**,,84,
Thunder Bay,5.1,a ,**,,970,a ,936,a ,6.4,b ,"5,796",
Tillsonburg,1.4,a ,**,,828,a ,859,a ,++,,899,
Timmins,6.8,c ,**,,888,a ,900,a ,3.0,c ,"1,748",
Toronto,1.1,a ,**,,"1,370",a ,"1,300",a ,5.4,a ,"320,898",
Trent Hills MU,**,,**,,**,,**,,**,,17,
Wasaga Beach,**,,**,,**,,**,,**,,5,
West Grey MU,2.5,c ,**,,699,b ,675,b ,-5.6,d ,149,
West Nipissing / Nipissing Ouest M,3.3,d ,**,,766,a ,710,a ,1.3,d ,433,
Windsor,2.9,a ,**,,827,a ,800,a ,4.6,c ,"15,881",
Woodstock,**,,**,,929,a ,881,a ,1.6,c ,"2,861",
Ontario,1.8,a ,**,,"1,203",a ,"1,137",a ,4.8,a ,"689,320",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
Source,CMHC Rental Market Survey
