"Ontario — Rental Market Statistics Summary by Metropolitan Areas, Census Agglomerations and Cities"
October 2019 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
Petawawa,4.6,c ,**,,781,a ,780,a ,-2.4,c ,366,
Peterborough,2.0,a ,**,,"1,058",a ,"1,050",a ,2.9,c ,"6,543",
Port Hope,2.1,b ,**,,"1,267",b ,"1,200",a ,++,,572,
Prince Edward County CY,4.0,d ,**,,962,b ,900,c ,9.8,c ,506,
Sarnia,3.1,b ,**,,954,a ,910,a ,3.4,b ,"6,461",
Saugeen Shores T,1.3,d ,**,,"1,089",b ,974,a ,9.4,c ,479,
Sault Ste. Marie,4.9,b ,**,,849,a ,845,a ,++,,"5,022",
Scugog TP,**,,**,,"1,098",a ,"1,200",b ,2.7,c ,147,
South Dundas MU,0.0,d ,**,,607,a ,575,b ,14.8,c ,325,
South Huron MU,**,,**,,658,a ,675,a ,0.2,a ,451,
St. Catharines - Niagara,2.3,a ,**,,"1,034",a ,"1,000",a ,4.1,b ,"16,888",
Stratford,1.6,b ,**,,922,a ,895,a ,4.3,b ,"2,040",
The Nation / La Nation M,0.0,d ,**,,667,c ,650,d ,**,,90,
Thunder Bay,3.6,b ,**,,"1,000",a ,979,a ,3.6,c ,"5,868",
Tillsonburg,1.1,a ,**,,908,a ,904,a ,10.6,d ,896,
Timmins,6.9,c ,**,,937,a ,925,a ,**,,"1,807",
Toronto,1.5,a ,**,,"1,465",a ,"1,395",a ,6.4,a ,"323,341",
Trent Hills MU,**,,**,,**,,**,,**,,17,
Wasaga Beach,**,,**,,**,,**,,**,,5,
West Grey MU,**,,**,,731,b ,700,b ,**,,153,
West Nipissing / Nipissing Ouest M,**,,**,,751,a ,700,a ,++,,439,
Windsor,2.8,a ,**,,874,a ,856,a ,7.4,b ,"16,004",
Woodstock,1.3,a ,**,,"1,220",a ,"1,155",b ,6.4,c ,"2,856",
Ontario,2.0,a ,**,,"1,277",a ,"1,200",a ,6.1,a ,"693,515",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
Source,CMHC Rental Market Survey
